Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PAPSS1	1.05108787615547	10.9821377668309	18.0381238964475	1.19428953665657e-64	5.62482597589971e-62	136.308013743832
ARSG	-2.22709579463192	7.99524162561576	-17.980527150199	2.71605529157286e-64	1.25012617647576e-61	135.491983464551
SFT2D2	1.293789121283	6.49805714285714	17.9765042990426	2.87631800078177e-64	1.29447093670739e-61	135.435044096857
PRSS33	3.07390826149905	0.986832183908046	17.957976311682	3.74515044447741e-64	1.64884319133818e-61	135.172894491031
MAP3K12	-1.47435750529012	7.65477487684729	-17.9436577268306	4.59210225473799e-64	1.88912327959858e-61	134.970410359538
E2F3	1.26417700857557	9.0207341543514	17.9428129300705	4.64765921623621e-64	1.88912327959858e-61	134.958466717424
SRPK1	1.08085861009019	10.3907522988506	17.942643026779	4.65891342591554e-64	1.88912327959858e-61	134.956064683079
TFF1	-6.6468013119501	8.32995065681445	-17.942565748026	4.66404127888254e-64	1.88912327959858e-61	134.95497214699
P4HTM	-1.58208545717787	9.38516617405583	-17.8964527795805	8.98723232796433e-64	3.56881233541046e-61	134.30353273133
SFRS13B	2.57530515647622	3.6148170771757	17.8876424248018	1.01860062744272e-63	3.9670576744173e-61	134.179179440196
PSAT1	3.57644351264061	6.5341788998358	17.8777422038461	1.17243874160332e-63	4.48004328206611e-61	134.039485815552
FSIP1	-4.09646045884842	6.62983702791461	-17.8090124684471	3.10903494629428e-63	1.16600325430281e-60	133.070942591135
VGLL1	4.93280129190333	3.82108752052545	17.7947517408345	3.80527794762954e-63	1.40117252718897e-60	132.870252752386
DACH1	-3.58975680810781	8.00306149425287	-17.785722240874	4.32447082494575e-63	1.56391398476431e-60	132.743230134477
KCMF1	0.654390386457299	10.3084039408867	17.7827998794242	4.50720063647079e-63	1.60140047876853e-60	132.702127861559
GATA3	-3.12023689274974	12.5270805418719	-17.764522861028	5.8382180306337e-63	2.03854468200679e-60	132.445156031291
ERBB4	-4.25886117830492	8.48351165845649	-17.7164748327697	1.15179436718488e-62	3.95358297020816e-60	131.770348827395
POU5F1	1.92697251141552	1.8991565681445	17.701697543175	1.41918246938093e-62	4.79021389498377e-60	131.563026308025
SLC22A5	-1.38727860118054	8.94955632183908	-17.692895462174	1.6070180047369e-62	5.33529977572651e-60	131.439583221547
NOSTRIN	-2.59125933177415	8.28961945812808	-17.6641762202648	2.41015210308151e-62	7.87264522445269e-60	131.037067477526
FAM123B	1.28340204254372	7.6585578817734	17.6422624849121	3.28279453003315e-62	1.05528817178145e-59	130.730194229952
ANXA9	-3.05352350818577	8.39652454844007	-17.6273887351714	4.04831740047647e-62	1.28103943741327e-59	130.522035063259
SCUBE2	-4.33234656197796	10.8604256978654	-17.6207826271371	4.44315064015787e-62	1.3843490271458e-59	130.429615427067
BCAS1	-4.08336836618776	7.9487052545156	-17.5967708058445	6.23048002191067e-62	1.91181335460204e-59	130.093862168626
FBP1	-2.34652500501168	10.113792364532	-17.5471336714579	1.25220399067255e-61	3.7850201819553e-59	129.400655644197
CACNA2D2	-2.94983101236218	7.48124655172414	-17.5430506472428	1.32613962129878e-61	3.94955582507985e-59	129.343686025965
SEPHS1	0.853495358057691	10.26801863711	17.4973885893386	2.51756533224334e-61	7.38923668240467e-59	128.70711027542
CCDC48	-2.72541777926272	6.04062988505747	-17.4358425635819	5.96393954020217e-61	1.72545290811678e-58	127.850662903972
LPO	2.43024472881167	1.4656342364532	17.326512042905	2.74759061436705e-60	7.83721198903682e-58	126.33373188572
SYBU	-2.39621166276869	8.97566059113301	-17.3171769450187	3.12955115193681e-60	8.80273193458671e-58	126.204476018734
CENPW	1.87165090767345	7.11187118226601	17.2826110216953	5.06573146542893e-60	1.40535881695708e-57	125.726234496054
INPP5J	-2.63615328878494	8.54243669950739	-17.2754301868286	5.59837945862553e-60	1.53214028102817e-57	125.626955493804
C6orf218	2.44329379440918	1.13322569786535	17.2433711466574	8.74542217598756e-60	2.36149719877467e-57	125.18402608633
PDSS1	1.24626961354272	6.51480796387521	17.2299816570481	1.05347316411035e-59	2.80722875257406e-57	124.999183699105
BPI	3.0871581757434	1.91937397372742	17.223520302455	1.15245017779609e-59	3.03109363645796e-57	124.910015603185
C10orf116	-2.84730079964361	10.1812801313629	-17.1600052087066	2.7829786259331e-59	7.22575424774322e-57	124.034574996618
