Gene	RF_Importance
ORC1L	0.129950687305208
NHLRC4	0.129853047457027
KIAA1467	0.129211487174889
MAGEB4	0.129074778708956
BBOX1	0.129016665151683
RGMA	0.128961760350843
PRSS12	0.128958749823014
STAC2	0.128880356372594
DNER	0.128578818090482
SCUBE1	0.128513792320886
SCEL	0.128124017299906
SEZ6L	0.127940082352685
SMC1B	0.127925464930312
MUC5B	0.12782676662386
TUBA3E	0.127280510124366
IGF2BP2	0.126770190773226
BCAM	0.126750406496254
ZMYND10	0.12665936244509
FAM3D	0.126374976153363
COL9A3	0.126012787030774
RHCG	0.125971524925246
GGH	0.125971016885647
TOP2A	0.125867647572185
CACNA1F	0.12581304914559
RDH10	0.125363621555092
MYB	0.125306772392073
KERA	0.125259631228157
HSD17B2	0.124934610112766
GPC2	0.124810684570822
CDC20	0.124747886477918
VIPR2	0.124671094863079
ADAM33	0.124633639408431
MAP7D2	0.124370585719044
CHI3L1	0.123973989940388
KRT6B	0.123901026866864
TDO2	0.123858820573159
LIPE	0.123848554221212
C19orf51	0.123743254957655
LOC113230	0.123708252911724
ARNTL2	0.123521545612631
GSTP1	0.123332990841722
FOSL1	0.123026354908967
SOX6	0.122931064047507
ADRA2A	0.122175257487355
ATP7B	0.122133552185714
CELF4	0.121950932204919
CTNND2	0.121758843253723
C1QL2	0.121701498969667
NIPAL4	0.121652458310833
MUM1L1	0.121587640141354
PCDH8	0.121537668729576
PREX1	0.121500574974695
TTC39A	0.121479044825094
WNT6	0.121395318716323
TBX3	0.121376055672955
SH2D2A	0.120973521751296
MAP3K1	0.120881593623321
JAKMIP3	0.120822595745901
OGN	0.120820045424329
AURKB	0.120810605771495
AQP7	0.120693538587124
SYTL5	0.120397759471927
KLF5	0.12039056138979
RASD2	0.120009589661105
PCDH19	0.118815422798369
MID1	0.118790887792213
LYPD6B	0.11874870776251
CELSR1	0.118736847368326
TMEM74	0.118431541524187
ESYT3	0.118191115235948
C10orf82	0.118133960728684
ONECUT2	0.118004194566676
STON2	0.117667494450084
EFNA5	0.117580937113379
C6orf15	0.117095820945461
NPM2	0.116980813556555
C19orf33	0.116867668486904
CXCL10	0.11640355285111
SLC6A2	0.116179027543551
COL4A6	0.116121774822696
CCND1	0.116027659840716
HLA-DOB	0.115898912422322
CHAD	0.115667981011231
CHST8	0.115582324012875
NPC1L1	0.115539597951181
HDC	0.115497323708645
PNMT	0.11544021477039
TMPRSS6	0.115357133031854
LMX1B	0.115325999197991
IL34	0.115210683304848
SYT9	0.115197325891004
KLHDC7B	0.115085176617143
DSC3	0.115081172426793
ATP1A2	0.114593801316737
FAM64A	0.114408298772642
HMGCS2	0.114357808897063
LOC84856	0.114175902231692
BCL2	0.113763245448401
MFSD7	0.113363731438096
WDR93	0.113226226734849
TGFA	0.113001797570152
DEFB1	0.112735215281538
THRSP	0.112239311446877
TFCP2L1	0.112094968501854
MAST1	0.111769997382561
CDH19	0.11162197253168
LPPR3	0.111566213758578
SLITRK6	0.111306195384486
DHRS2	0.110917505096317
CCL18	0.110909922361048
KIF12	0.110770338408579
SERPINA5	0.110688403618321
CXCL11	0.110152696267383
AFF3	0.110107872051529
GZMB	0.109872843902719
PFKFB1	0.109383805198951
KBTBD12	0.109332720780952
FERMT1	0.109218845344727
SBSN	0.109026654646586
COL22A1	0.108969771571198
GPD1	0.108714091152055
DPYSL5	0.108713434539159
TLE6	0.108593486986131
CPA3	0.108343240556828
C1QL4	0.108239263788397
CITED1	0.107706851229442
GLIPR1L2	0.107625066349231
RCOR2	0.107534049190897
DNAH5	0.107394459025845
PGBD5	0.107324947488014
TMCC2	0.107296907371882
PTPRN2	0.106851967941585
PGLYRP2	0.10681487544191
S100A7	0.106811733358621
FMO6P	0.106788962937429
LONRF2	0.106767668159507
POLN	0.106724444513654
EGR3	0.10642058594787
DNAI1	0.106294313497398
PNMA3	0.106266316574551
