Gene	RF_Importance	LASSO_Coefficient	Degree	logFC	adj.P.Val	Is_Mutated	Score
SLC34A2	0.226114320551198	0	0	3.19954752199577	5.37934274039638e-22	FALSE	1.18187673973762
TUBB3	0.0955089376276304	0.0661030659386847	0	1.59692251475665	7.50510622938898e-21	FALSE	1.13994197744122
POU4F1	0.305805823097498	0	0	2.95144562868916	1.83776170645767e-69	FALSE	1.13717682865437
CHODL	0.249962542231993	0	0	3.08381484797862	5.54701636842677e-55	FALSE	1.11246030936757
SLC15A1	0.139538230508174	0	0	3.37112428555519	6.55343152652774e-50	FALSE	1.09811626915872
WNK4	0.0763288544240533	0	0	-3.5394978906337	1.50994690892237e-36	FALSE	1.09518860810451
C4orf7	0.0646176384802194	0	0	3.56889903552735	1.87777005795106e-22	FALSE	1.09222213175945
CXorf49B	0.305156809293855	0	0	2.90480875598619	7.82767666515603e-57	FALSE	1.07181474493761
CENPA	0.60201972334545	0	0	2.09430074173071	6.15959870112002e-41	FALSE	1.05889827785997
NAT1	0.105529676831603	0	0	-3.43313041764115	1.54895403630292e-41	FALSE	1.05793009353216
KIAA1804	0.626922398295148	0	0	2.00235320191558	1.28978461760304e-41	FALSE	1.02545357937039
TCEAL1	0.808947560879242	0	0	-1.50954520102461	5.53060909480146e-47	FALSE	1.02315974026078
LEMD1	0.260721509818358	0	0	2.96950252143891	8.73193345416029e-56	FALSE	0.997258898174821
CRIP1	0.498150684430098	0	0	-2.31080798084421	1.78456131770829e-41	FALSE	0.972805706792214
PGLYRP2	0.10681487544191	0	0	-3.36348900545718	2.09335565845865e-34	FALSE	0.968542843935417
TMPRSS6	0.115357133031854	0	0	-3.33861616215615	1.1538605695694e-38	FALSE	0.966076900758378
SFRP1	0.222548691804733	0	0	3.04794581133759	2.34252358955928e-24	FALSE	0.964099326523987
NEK10	0.0636960082012319	0	0	-3.47433715335784	9.40713917848451e-38	FALSE	0.961129732161023
KLHDC7A	0.061620663705083	0	0	-3.4772865797973	1.89906421411608e-32	FALSE	0.957550237201366
C10orf82	0.118133960728684	0	0	-3.31259164049448	3.2910797933953e-30	FALSE	0.941043261814821
KIF1A	0.0753554529386333	0	0	3.4112370241675	6.01225977737062e-27	FALSE	0.918387175531258
INPP5J	0.362507119071997	0	0	-2.63615328878494	1.53214028102817e-57	FALSE	0.917929090950191
NUDT12	0.283510906746595	-0.0426956830041511	0	-1.59900536362624	2.8924823193936e-55	FALSE	0.907654763152228
PDZK1	0.210347830064635	0	0	-3.03556247689053	1.30935233283624e-25	FALSE	0.902906159815514
